1	029 033
2	047 111
3	011 050 096
4	084 097
5	052 099
6	001 002 003 005 007 008 009 010 012 013 014 015 017 019 020 022 023 024 025 026 028 031 032 034 036 037 040 041 042 043 044 045 046 048 049 054 055 056 057 058 059 060 062 063 064 066 067 069 071 073 074 075 076 077 078 080 082 083 085 086 087 088 090 092 093 094 098 102 104 105 106 107 108 109 112 113 114 115 116 117 118 119 120 122 123
7	006
8	027
9	079
10	004
11	070
12	035
13	089
14	030
15	021
16	081
17	039
18	101
19	072
20	068
21	091
22	051
23	053
24	100
discard	000 016 018 038 061 065 095 103 110 121
